Nome,Localidade,2012,2013,2014,2015,2016
Camioneta,SP,851860,930126,999330,1055596,1105626
Camioneta,PR,166248,184386,200172,211883,220001
Camioneta,SC,105254,118720,132502,145120,156774
Camioneta,RS,165067,185649,205544,221916,234926
Camioneta,MS,27424,30180,32430,34490,36233
Camioneta,MT,25817,29191,32348,34838,37337
Camioneta,GO,65595,72927,80153,85555,89213
Camioneta,DF,55134,60972,66903,72931,77623
Micro-onibus,RO,943,1008,1103,1165,1204
Micro-onibus,AC,257,290,325,341,351
Micro-onibus,AM,3099,3248,3404,3469,3481
Micro-onibus,RR,506,563,609,636,647
Micro-onibus,PA,5602,5927,6200,6404,6581
Micro-onibus,AP,384,411,450,454,463
Micro-onibus,TO,1342,1448,1536,1601,1601
Micro-onibus,MA,3883,4096,4300,4514,4652
Micro-onibus,PI,2288,2606,2890,3152,3369
Micro-onibus,CE,8493,9454,10412,11054,11488
Micro-onibus,RN,3963,4288,4575,4770,4921
Micro-onibus,PB,3588,3981,4205,4391,4528
Micro-onibus,PE,13829,15372,16782,17792,18197
Micro-onibus,AL,5027,5407,5793,6040,6201
Micro-onibus,SE,2880,3062,3213,3371,3385
Micro-onibus,BA,21160,23639,25164,26357,27365
Micro-onibus,MG,36174,39069,41588,43346,44514
Micro-onibus,ES,6268,6875,7308,7690,7873
Micro-onibus,RJ,34297,35834,37418,38428,38550
Micro-onibus,SP,102443,107706,113446,116617,118291
Micro-onibus,PR,17663,19041,20035,21136,21858
Micro-onibus,SC,10003,10464,11050,11422,11688
Micro-onibus,RS,17503,18509,19506,20044,20361
Micro-onibus,MS,2757,3089,3347,3498,3613
Micro-onibus,MT,2652,2880,3159,3311,3410
Micro-onibus,GO,7027,7737,8494,8924,9232
Micro-onibus,DF,4731,4924,5189,5347,5501
Motocicleta,RO,298733,319337,339780,356835,370172
Motocicleta,AC,79261,86048,93402,100151,105766
Motocicleta,AM,163132,183987,205629,221639,233300
Motocicleta,RR,59993,64676,69088,72614,75528
Motocicleta,PA,511914,593828,671043,739193,792245
Motocicleta,AP,46862,50326,53872,57179,59562
Motocicleta,TO,170452,184135,196993,209392,218287
Motocicleta,MA,527680,601923,672240,735765,781186
Motocicleta,PI,365072,410745,452641,487980,514885
Motocicleta,CE,943067,1045078,1139182,1224519,1282954
Motocicleta,RN,312913,340918,366858,389422,407333
Motocicleta,PB,335084,366699,396472,425069,448904
Motocicleta,PE,756609,828291,891645,941796,975136
Motocicleta,AL,175784,199317,222799,243002,258885
Motocicleta,SE,175072,190159,205773,219618,231233
Motocicleta,BA,909410,1002208,1087674,1157861,1206652
Motocicleta,MG,1992166,2106326,2213379,2308174,2379738
Motocicleta,ES,351954,373365,392784,409617,421358
Motocicleta,RJ,690998,748356,808975,858526,889919
Motocicleta,SP,3811101,3978276,4133366,4268872,4378772
Motocicleta,PR,971925,1011274,1045883,1076577,1101224
Motocicleta,SC,733187,763019,792076,815722,833005
Motocicleta,RS,921575,959339,992150,1019079,1039618
Motocicleta,MS,297043,313390,328492,340715,349551
Motocicleta,MT,462515,495288,527887,555692,577776
Motocicleta,GO,701514,743879,779983,810136,832876
Motocicleta,DF,145291,154277,162850,171048,176768
Motoneta,RO,84171,92619,100796,107679,112533
Motoneta,AC,15422,17336,19093,20878,22189
Motoneta,AM,36883,41914,46366,49881,52096
Motoneta,RR,14635,15922,17192,18349,19218
Motoneta,PA,111108,130277,148153,163724,173766
Motoneta,AP,8649,9358,10292,11052,11578
Motoneta,TO,67189,73809,79842,85569,89035
Motoneta,MA,88822,104430,119721,133820,142653
Motoneta,PI,61344,70891,79509,86587,91123
Motoneta,CE,103964,118664,131508,143139,150790
Motoneta,RN,42200,46263,49868,53097,56633
Motoneta,PB,45922,51069,55340,59590,62306
Motoneta,PE,74188,83264,90654,96219,99703
Motoneta,AL,25760,29344,32519,35079,36682
Motoneta,SE,29524,32803,35683,38060,39819
Motoneta,BA,119502,137465,153540,166684,174850
Motoneta,MG,205390,224198,242782,257972,268287
Motoneta,ES,76520,83426,90213,96011,99461
Motoneta,RJ,123144,132301,143224,151746,157050
Motoneta,SP,644480,696663,751108,795579,828036
Motoneta,PR,235865,248776,260881,271160,278234
Motoneta,SC,215265,231372,245408,254299,259824
Motoneta,RS,154300,163911,171633,177316,181090
Motoneta,MS,81361,88341,94959,100209,103349
Motoneta,MT,144594,159691,177262,191695,202532
Motoneta,GO,200119,218623,236080,250645,259973
Motoneta,DF,13531,14595,15955,17120,17748
Onibus,RO,4571,4876,5082,5422,5708
Onibus,AC,734,921,1010,1044,1047
Onibus,AM,8046,8517,8822,8787,8765
Onibus,RR,756,825,901,994,1020
Onibus,PA,13274,14414,15863,16980,17493
Onibus,AP,857,917,1052,1123,1176
Onibus,TO,4007,4530,4894,5151,5206
Onibus,MA,6283,6868,7422,8028,8472
Onibus,PI,4390,5295,5726,6152,6468
Onibus,CE,12761,14014,14970,15920,16567
Onibus,RN,5392,5716,6069,6349,6585
Onibus,PB,5434,6520,6822,7002,7061
Onibus,PE,16493,17903,18575,19009,19106
Onibus,AL,5631,6098,6504,6819,7157
Onibus,SE,5175,5785,6213,6443,6623
Onibus,BA,31256,34421,36088,37629,38180
Onibus,MG,63685,67366,70618,71950,73318
Onibus,ES,13133,13555,14549,14616,14581
Onibus,RJ,42398,44316,45613,46833,47077
Onibus,SP,140654,145166,150518,153113,155317
Onibus,PR,35219,36912,38729,40165,41202
Onibus,SC,16807,17606,18408,18702,18922
Onibus,RS,34943,36843,38269,39267,40032
Onibus,MS,7293,8199,8616,8867,9057
Onibus,MT,8588,9620,10433,10838,11149
Onibus,GO,18308,19507,20572,21495,22037
Onibus,DF,8888,10755,11787,11959,12196
Trator-de-rodas,RO,29,36,38,40,43
Trator-de-rodas,AC,2,2,1,2,2
Trator-de-rodas,AM,53,60,68,69,74
Trator-de-rodas,RR,2,2,2,2,2
Trator-de-rodas,PA,38,62,96,113,119
Trator-de-rodas,AP,5,4,5,5,7
Trator-de-rodas,TO,33,34,35,32,32
Trator-de-rodas,MA,53,56,61,66,65
Trator-de-rodas,PI,15,17,73,75,75
Trator-de-rodas,CE,193,218,228,241,248
Trator-de-rodas,RN,112,112,125,129,131
Trator-de-rodas,PB,30,31,31,41,44
Trator-de-rodas,PE,252,285,298,310,314
Trator-de-rodas,AL,9,15,15,17,17
Trator-de-rodas,SE,107,115,121,129,132
Trator-de-rodas,BA,167,196,219,239,249
Trator-de-rodas,MG,1843,1931,2001,2052,2078
Trator-de-rodas,ES,1897,2013,2084,2126,2147
Trator-de-rodas,RJ,643,666,686,687,685
Trator-de-rodas,SP,9511,9882,10213,10500,10695
Trator-de-rodas,PR,1676,1776,1833,1867,1891
Trator-de-rodas,SC,2835,2882,2939,2996,3021
Trator-de-rodas,RS,6561,6945,7245,7505,7675
Trator-de-rodas,MS,180,190,210,207,213
Trator-de-rodas,MT,47,66,82,90,98
Trator-de-rodas,GO,158,185,224,241,243
Trator-de-rodas,DF,575,582,583,590,596
Utilitario,RO,1885,2206,2528,2760,3084
Utilitario,AC,741,850,977,1054,1134
Utilitario,AM,3770,4233,4630,4775,4836
Utilitario,RR,739,841,960,1049,1126
Utilitario,PA,7988,9263,10474,11450,12237
Utilitario,AP,674,716,767,832,848
Utilitario,TO,1796,2143,2470,2736,2998
Utilitario,MA,5210,6049,6779,7608,8469
Utilitario,PI,2806,3437,4264,5066,5836
Utilitario,CE,17918,20204,23077,25433,27735
Utilitario,RN,8663,9987,11489,12703,13746
Utilitario,PB,4790,5642,6622,7492,8482
Utilitario,PE,10065,11985,13947,15747,17178
Utilitario,AL,3158,3643,4262,4789,5116
Utilitario,SE,2558,2948,3397,3721,3919
Utilitario,BA,14909,17430,20225,22721,24919
Utilitario,MG,31292,37732,44750,51271,58067
Utilitario,ES,8654,10475,12426,14177,16069
Utilitario,RJ,32713,38667,44963,50219,54215
Utilitario,SP,128127,152404,178842,202566,225204
Utilitario,PR,27951,33480,39439,44081,49048
Utilitario,SC,24395,28995,34253,40155,46318
Utilitario,RS,27500,32431,38091,43365,48525
Utilitario,MS,5875,6974,8223,9473,10584
Utilitario,MT,7286,8532,9995,11302,12760
Utilitario,GO,12139,14278,17148,19545,21409
Utilitario,DF,14082,16482,18863,21121,23290
Outros,RO,17168,19127,21322,23310,26578
Outros,AC,2621,3090,3613,4100,4776
Outros,AM,14998,16139,17194,18052,18804
Outros,RR,2070,2322,2630,3024,3341
Outros,PA,26753,30768,34837,38889,42258
Outros,AP,2204,2561,2972,3228,3432
Outros,TO,18776,22094,25309,28142,30136
Outros,MA,15844,18681,21925,24784,26775
Outros,PI,10016,11931,13740,15204,16506
Outros,CE,32531,36070,39771,43621,50411
Outros,RN,12380,14171,16179,21183,43296
Outros,PB,7819,8773,9790,20834,37452
Outros,PE,38772,43084,47410,71338,90255
Outros,AL,15375,17284,19100,21038,22927
Outros,SE,12901,14734,16774,19453,40625
Outros,BA,56887,64013,70283,76966,83914
Outros,MG,196375,215611,236353,262722,295968
Outros,ES,41025,44161,47557,51057,54674
Outros,RJ,59694,69865,83501,101150,117983
Outros,SP,486483,522880,554623,580403,606350
Outros,PR,202424,222339,239014,252186,263070
Outros,SC,112132,124983,137734,148264,157851
Outros,RS,190702,205925,220533,233193,244856
Outros,MS,39693,45039,49927,54076,59158
Outros,MT,63370,73970,82156,86974,91633
Outros,GO,151141,174410,196816,214563,227918
Outros,DF,21614,22983,24597,26677,28003
